ID F 1O 2O 3O 4O 5O
OGLE-LMC-CEP-0024 5.0930441 3.6316736 -1. -1. -1. -1.
OGLE-LMC-CEP-0036 1.5738216 1.1419504 -1. -1. -1. -1.
OGLE-LMC-CEP-0083 0.5805571 0.4397881 -1. -1. -1. -1.
OGLE-LMC-CEP-0112 1.8945959 1.3709906 -1. -1. -1. -1.
OGLE-LMC-CEP-0200 1.8961156 1.3715372 -1. -1. -1. -1.
OGLE-LMC-CEP-0261 2.4382289 1.7540148 -1. -1. -1. -1.
OGLE-LMC-CEP-0355 2.2144145 1.5972124 -1. -1. -1. -1.
OGLE-LMC-CEP-0432 3.8842199 2.7931983 -1. -1. -1. -1.
OGLE-LMC-CEP-0507 0.9850261 0.7277254 -1. -1. -1. -1.
OGLE-LMC-CEP-0532 1.7876085 1.2958316 -1. -1. -1. -1.
OGLE-LMC-CEP-0550 3.2350922 2.3040824 -1. -1. -1. -1.
OGLE-LMC-CEP-0562 1.8070008 1.3082604 -1. -1. -1. -1.
OGLE-LMC-CEP-0566 2.8040936 2.0143763 -1. -1. -1. -1.
OGLE-LMC-CEP-0623 2.4774706 1.7829716 -1. -1. -1. -1.
OGLE-LMC-CEP-0653 1.9041588 1.3769573 -1. -1. -1. -1.
OGLE-LMC-CEP-0742 1.8075788 1.3076473 -1. -1. -1. -1.
OGLE-LMC-CEP-0832 3.8928031 2.7963769 -1. -1. -1. -1.
OGLE-LMC-CEP-0856 1.1846325 0.8691941 -1. -1. -1. -1.
OGLE-LMC-CEP-0894 3.5260282 2.5180279 -1. -1. -1. -1.
OGLE-LMC-CEP-0901 1.4215738 1.0462024 -1. -1. -1. -1.
OGLE-LMC-CEP-0937 2.7825555 2.0030874 -1. -1. -1. -1.
OGLE-LMC-CEP-0956 3.8348556 2.7321485 -1. -1. -1. -1.
OGLE-LMC-CEP-1043 4.0657062 2.9094626 -1. -1. -1. -1.
OGLE-LMC-CEP-1064 3.7003494 2.6535910 -1. -1. -1. -1.
OGLE-LMC-CEP-1082 7.8643395 5.5651765 -1. -1. -1. -1.
OGLE-LMC-CEP-1221 1.3335415 0.9718377 -1. -1. -1. -1.
OGLE-LMC-CEP-1242 2.2809295 1.6466407 -1. -1. -1. -1.
OGLE-LMC-CEP-1380 3.1708872 2.2734085 -1. -1. -1. -1.
OGLE-LMC-CEP-1381 1.5692871 1.1419214 -1. -1. -1. -1.
OGLE-LMC-CEP-1443 1.3555355 0.9870974 -1. -1. -1. -1.
OGLE-LMC-CEP-1624 4.8414578 3.4535925 -1. -1. -1. -1.
OGLE-LMC-CEP-1717 3.3215300 2.3473772 -1. -1. -1. -1.
OGLE-LMC-CEP-1770 1.0224458 0.7537065 -1. -1. -1. -1.
OGLE-LMC-CEP-1825 2.7985003 2.0108504 -1. -1. -1. -1.
OGLE-LMC-CEP-1989 2.9355271 2.1070073 -1. -1. -1. -1.
OGLE-LMC-CEP-2029 2.8492979 2.0322209 -1. -1. -1. -1.
OGLE-LMC-CEP-2037 3.4336603 2.4408884 -1. -1. -1. -1.
OGLE-LMC-CEP-2067 1.2817305 0.9385657 -1. -1. -1. -1.
OGLE-LMC-CEP-2071 1.5468906 1.1207866 -1. -1. -1. -1.
OGLE-LMC-CEP-2149 3.4051457 2.4375937 -1. -1. -1. -1.
OGLE-LMC-CEP-2227 3.6856215 2.6405712 -1. -1. -1. -1.
OGLE-LMC-CEP-2241 3.4467453 2.4557676 -1. -1. -1. -1.
OGLE-LMC-CEP-2351 2.3696581 1.7091305 -1. -1. -1. -1.
OGLE-LMC-CEP-2373 2.9370163 2.1007891 -1. -1. -1. -1.
OGLE-LMC-CEP-2404 1.8840770 1.3617040 -1. -1. -1. -1.
OGLE-LMC-CEP-2410 3.3903279 2.4233877 -1. -1. -1. -1.
OGLE-LMC-CEP-2461 3.6418529 2.6117972 -1. -1. -1. -1.
OGLE-LMC-CEP-2487 1.6137086 1.1736783 -1. -1. -1. -1.
OGLE-LMC-CEP-2527 3.4550791 2.4674799 -1. -1. -1. -1.
OGLE-LMC-CEP-2569 2.7266714 1.9534145 -1. -1. -1. -1.
OGLE-LMC-CEP-2603 1.7860064 1.2992169 -1. -1. -1. -1.
OGLE-LMC-CEP-2665 3.5643383 2.5542447 -1. -1. -1. -1.
OGLE-LMC-CEP-2720 3.2099154 2.2949390 -1. -1. -1. -1.
OGLE-LMC-CEP-2802 1.2851370 0.9375865 -1. -1. -1. -1.
OGLE-LMC-CEP-2882 1.4986882 1.0886639 -1. -1. -1. -1.
OGLE-LMC-CEP-2924 1.4714161 1.0732334 -1. -1. -1. -1.
OGLE-LMC-CEP-3099 1.5709735 1.1419966 -1. -1. -1. -1.
OGLE-LMC-CEP-3190 1.7729887 1.2846322 -1. -1. -1. -1.
OGLE-LMC-CEP-3217 1.0273865 0.7554969 -1. -1. -1. -1.
OGLE-LMC-CEP-3229 1.8292581 1.3259502 -1. -1. -1. -1.
OGLE-LMC-CEP-3272 1.6838246 1.2215299 -1. -1. -1. -1.
OGLE-SMC-CEP-0086 1.8208288 1.3386533 -1. -1. -1. -1.
OGLE-SMC-CEP-0178 1.5769417 1.1608937 -1. -1. -1. -1.
OGLE-SMC-CEP-0253 1.4312281 1.0541044 -1. -1. -1. -1.
OGLE-SMC-CEP-0285 1.1044177 0.8148028 -1. -1. -1. -1.
OGLE-SMC-CEP-0403 2.2108408 1.6183417 -1. -1. -1. -1.
OGLE-SMC-CEP-0408 1.7901765 1.3140538 -1. -1. -1. -1.
OGLE-SMC-CEP-0476 1.7043962 1.2451132 -1. -1. -1. -1.
OGLE-SMC-CEP-0703 1.3758475 1.0183119 -1. -1. -1. -1.
OGLE-SMC-CEP-0837 1.4161870 1.0385117 -1. -1. -1. -1.
OGLE-SMC-CEP-0838 2.1673305 1.5815905 -1. -1. -1. -1.
OGLE-SMC-CEP-0871 1.2110928 0.8902061 -1. -1. -1. -1.
OGLE-SMC-CEP-0892 2.0881536 1.5264367 -1. -1. -1. -1.
OGLE-SMC-CEP-0913 1.7775298 1.2976297 -1. -1. -1. -1.
OGLE-SMC-CEP-0964 0.9254546 0.6912821 -1. -1. -1. -1.
OGLE-SMC-CEP-1015 1.7137179 1.2683647 -1. -1. -1. -1.
