ID F 1O 2O 3O 4O 5O
OGLE-LMC-RRLYR-00009 0.4810719 0.3580210 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00021 0.5086621 0.3793530 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00052 0.4758476 0.3536819 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00055 0.4812189 0.3580537 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00063 0.5080168 0.3783588 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00065 0.4818865 0.3586705 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00067 0.4804144 0.3573775 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00090 0.4923583 0.3663813 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00097 0.4718349 0.3511421 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00117 0.5394222 0.4015273 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00150 0.5260911 0.3925069 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00183 0.4814345 0.3580297 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00184 0.5493451 0.4097299 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00197 0.4760381 0.3542447 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00204 0.5314203 0.3966571 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00205 0.4836928 0.3599957 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00207 0.4844504 0.3604794 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00250 0.5009623 0.3729846 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00270 0.4872672 0.3625334 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00282 0.4725687 0.3514838 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00293 0.5115403 0.3817033 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00314 0.4627604 0.3438714 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00355 0.5534885 0.4130253 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00359 0.4968522 0.3701611 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00369 0.4792976 0.3564672 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00387 0.4874561 0.3630454 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00407 0.5315059 0.3962204 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00410 0.4916184 0.3660399 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00459 0.4939970 0.3678579 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00480 0.5434818 0.4056077 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00490 0.5399865 0.4025231 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00495 0.4809756 0.3578360 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00502 0.4728066 0.3516672 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00507 0.5214317 0.3890811 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00516 0.4740239 0.3524899 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00527 0.4868534 0.3626049 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00536 0.5923128 0.4415794 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00573 0.4694264 0.3489918 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00582 0.5767685 0.4307216 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00622 0.4908464 0.3656113 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00630 0.4821959 0.3589840 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00647 0.5240288 0.3910969 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00701 0.4876782 0.3629903 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00724 0.4835907 0.3599579 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00730 0.5210234 0.3886133 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00758 0.4951810 0.3693337 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00770 0.4840590 0.3602036 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00772 0.4654280 0.3464871 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00781 0.4705648 0.3500987 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00827 0.4702711 0.3495912 -1. -1. -1. -1.
OGLE-LMC-RRLYR-00851 0.4665362 0.3465870 -1. -1. -1. -1.
