ID F 1O 2O 3O 4O 5O
47_Tuc_V1     0.0633     0.049375   -1.  -1.  -1.  -1.
47_Tuc_V2     0.10187    0.07884    -1.  -1.  -1.  -1.
M79_V18       0.0502744  0.0391700  -1.  -1.  -1.  -1.
NGC_3201_V2   0.03726    0.02911    -1.  -1.  -1.  -1.
NGC_3201_V7   0.06730    0.052459   -1.  -1.  -1.  -1.
NGC_3201_V8   0.05428    0.042339   -1.  -1.  -1.  -1.
NGC_4833_V31  0.0533323  0.041726   -1.  -1.  -1.  -1.
M53_V99       0.0564200  0.0441200  -1.  -1.  -1.  -1.
M53_V101      0.0525200  0.0410700  -1.  -1.  -1.  -1.
NGC_5053_NC13 0.03396    0.02680    -1.  -1.  -1.  -1.
w_Cen_V194    0.0471777  0.0368144  -1.  -1.  -1.  -1.
w_Cen_V204    0.0493757  0.0382333  -1.  -1.  -1.  -1.
w_Cen_V220    0.0528868  0.0411250  -1.  -1.  -1.  -1.
w_Cen_V225    0.0486381  0.0378580  -1.  -1.  -1.  -1.
w_Cen_V249    -1.        0.0349468  0.0285714  -1.  -1.  -1.
w_Cen_NV305   -1.        0.0441445  0.0365672  -1.  -1.  -1.
w_Cen_NV322   0.0479562  0.0372552  -1.  -1.  -1.  -1.
w_Cen_NV323   0.0635009  0.0493547  -1.  -1.  -1.  -1.
w_Cen_NV326   0.0569058  0.0443705  -1.  -1.  -1.  -1.
NGC_5466_V33  0.0499     0.0390     -1.  -1.  -1.  -1.
NGC_5466_V35  0.0505     0.0395     -1.  -1.  -1.  -1.
NGC_5466_V36  0.05519    0.04217    -1.  -1.  -1.  -1.
NGC_5466_V40  -1.        0.0451     0.03655    -1.  -1.  -1.
NGC_5466_V41  0.0386     0.0306     -1.  -1.  -1.  -1.
M13_V46       0.052175   0.041285   -1.  -1.  -1.  -1.
M92_V34       0.0830138  0.0655600  -1.  -1.  -1.  -1.
M55_V41       -1.        0.0452     0.0365     -1.  -1.  -1.
M71_D6        0.06109    0.04772    -1.  -1.  -1.  -1.
